planet_id,bound1,bound2,bound3,bound4
785834,65,55,121,131
14485303,65,55,121,131
17002355,65,55,121,131
24135240,65,55,121,132
25070640,71,61,115,125
26372015,64,54,123,133
29348276,65,56,122,131
33548644,65,55,122,131
50637799,65,55,121,131
53735941,65,56,121,131
57518461,65,55,121,131
57669658,65,55,121,131
61961538,65,55,121,131
62282335,66,55,121,132
75219649,65,55,121,132
77523557,66,55,121,131
79009616,66,54,121,131
90833891,65,55,121,131
92029723,65,55,121,132
93311500,66,55,121,131
100468857,65,55,122,131
112782545,65,56,121,131
113675418,65,55,121,131
137536026,66,55,121,132
141323216,65,55,121,131
145136829,65,55,121,132
155746318,66,57,119,129
159506197,65,55,121,132
165516591,65,54,122,132
168297458,63,54,123,133
178016934,65,55,121,131
193269369,65,55,121,132
208206471,65,55,121,132
208669662,66,55,121,131
210689998,65,55,121,132
222583025,65,54,122,132
229701106,66,55,121,132
233675174,65,55,121,132
235073610,66,55,121,132
239407592,65,55,121,131
262048960,65,55,121,132
265537422,71,61,115,125
273602018,67,57,121,131
277905930,65,55,121,131
283919092,64,54,124,134
286376329,65,54,122,133
301818265,65,55,121,131
302857654,65,55,121,131
303438165,65,55,121,131
312842524,65,55,121,131
333122533,65,56,122,131
342497505,66,55,120,131
343035647,66,55,121,131
377187848,65,55,121,131
385995586,65,55,121,131
386885929,65,55,121,131
391267577,65,54,121,132
396266265,66,55,121,132
401017528,66,55,121,132
421386193,66,55,121,132
421791107,65,55,121,131
453007076,65,55,121,132
463235157,72,62,114,124
469234852,66,55,121,132
473550121,65,55,121,131
496472369,65,55,121,131
497611894,65,55,121,131
506148838,65,55,121,131
506349321,65,55,121,131
511262612,65,55,121,132
514590299,65,55,121,131
514678999,65,55,121,131
521001195,65,56,122,131
521954473,65,55,121,131
525433641,66,55,121,132
528183114,65,55,122,131
534940522,65,55,121,132
540395971,65,55,121,131
544877920,65,55,121,132
553530207,68,58,120,130
557327341,66,55,121,131
557779238,65,55,121,131
565785039,65,55,122,131
585737420,65,55,121,132
595119503,65,55,121,131
598943473,65,55,122,131
603237272,65,55,121,132
611290582,66,55,121,132
612015401,65,55,121,131
615304059,65,55,121,131
619448599,65,55,121,132
636190362,71,61,118,128
637988352,66,56,121,132
640765770,65,56,121,131
688695194,65,55,121,131
696618104,65,55,121,131
704002160,65,55,122,131
708534821,65,55,121,132
720318091,65,55,121,132
723247337,65,55,121,131
724899303,60,49,125,135
730244369,69,58,118,129
735692747,65,55,121,132
737266850,65,54,121,132
743163637,65,55,121,131
746498582,65,55,121,132
749245819,68,57,119,130
772915060,65,55,121,132
773356318,65,55,121,131
777145011,65,55,121,131
780066751,65,56,122,131
782689910,66,55,121,131
793844575,65,55,121,131
795613079,66,55,121,132
803524404,65,55,122,132
807484101,65,55,121,131
811352473,66,55,121,131
818295678,65,55,122,131
821591986,65,55,121,132
